epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6382,2.87376,4.16128,3.95728,0.00263,0.77281,0.01321,0.00376,2.19911,3.63201,3.31248,0.000552215,0.000552215,0.000552215
2,141.375,2.59533,3.46825,3.17971,0.13819,0.19009,0.09317,0.0305,2.08884,3.17119,2.84988,0.000742281,0.000742281,0.000742281
3,206.674,2.18351,2.86742,2.73453,0.35165,0.34553,0.28147,0.11729,1.96457,2.34208,2.56104,0.000565607,0.000565607,0.000565607
