epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1391,2.87376,4.16128,3.95728,0.00263,0.77281,0.01321,0.00376,2.19911,3.63201,3.31248,0.000552215,0.000552215,0.000552215
2,131.359,2.59377,3.43346,3.17184,0.21532,0.19945,0.1349,0.04367,2.09802,2.81116,2.80891,0.000888521,0.000888521,0.000888521
3,189.03,2.16957,2.81782,2.70226,0.29955,0.38186,0.27093,0.10402,1.86896,2.39011,2.46121,0.00100478,0.00100478,0.00100478
4,245.539,1.92276,2.40504,2.41877,0.41275,0.55841,0.42264,0.19939,1.74379,1.97705,2.30445,0.000676802,0.000676802,0.000676802
5,301.734,1.80375,2.1855,2.29701,0.53114,0.63432,0.5708,0.30898,1.56068,1.63951,2.12944,0.000346736,0.000346736,0.000346736
